invoice_id,supplier,country,invoice_date,due_date,payment_date,invoice_amount,currency,department,po_number,invoice_status,payment_method
INV-000066,Crescent Facilities,Azerbaijan,2025-06-05,2025-08-04,2025-08-10,1485.17,AZN,Procurement,PO-1069,Paid,Bank Transfer
INV-000067,Blue Horizon Software,United Kingdom,2025-02-15,2025-04-16,2025-05-19,522.27,EUR,Procurement,PO-1621,Paid,Bank Transfer
INV-000068,Dijon Business Travel,France,2025-03-18,2025-04-17,2025-04-16,94.47,USD,Finance,PO-1549,Paid,Corporate Card
INV-000069,Araz Catering,Azerbaijan,2025-01-11,2025-01-26,2025-01-20,426.37,USD,Finance,PO-1324,Paid,Bank Transfer
INV-000070,Euro Energy Solutions,Germany,2024-11-26,2024-12-26,2024-12-14,323.23,USD,Finance,PO-1562,Paid,Bank Transfer
INV-000071,Crescent Facilities,Azerbaijan,2024-04-23,2024-05-08,2024-05-30,606.37,AZN,HSE,PO-1647,Paid,Bank Transfer
INV-000072,Blue Horizon Software,United Kingdom,2024-06-13,2024-06-28,2024-06-26,2143.07,AZN,Operations,PO-1997,Paid,Bank Transfer
INV-000073,Caspian Office Supplies,Azerbaijan,2025-11-24,2025-12-24,2025-12-09,1089.7,AZN,Human Resources,PO-1372,Paid,Bank Transfer
INV-000074,Caucasus Travel Services,Georgia,2024-10-11,2024-12-10,2024-12-23,1668.57,USD,IT,PO-1347,Paid,Bank Transfer
INV-000075,Araz Catering,Azerbaijan,2025-07-03,2025-08-02,2025-08-29,411.66,USD,Finance,PO-1666,Paid,Bank Transfer
INV-000076,Araz Catering,Azerbaijan,2025-08-07,2025-09-06,2025-09-27,2535.12,USD,Procurement,PO-1767,Paid,Bank Transfer
INV-000077,Baku Tech Services,Azerbaijan,2024-07-18,2024-08-17,,1168.45,AZN,Finance,PO-1260,Outstanding,Corporate Card
INV-000078,Dijon Business Travel,France,2025-04-19,2025-05-19,2025-05-27,4939.45,USD,IT,PO-1042,Paid,Corporate Card
INV-000079,Atlas Logistics,Türkiye,2024-09-24,2024-10-24,,1579.08,EUR,IT,PO-1595,Outstanding,Bank Transfer
INV-000080,Nordic Industrial Parts,Sweden,2025-03-10,2025-03-25,2025-03-11,1241.42,AZN,Procurement,PO-1348,Paid,Bank Transfer
INV-000081,Silk Road Consulting,Kazakhstan,2024-04-25,2024-05-10,2024-05-13,2549.65,USD,HSE,PO-1482,Paid,Bank Transfer
INV-000082,Atlas Logistics,Türkiye,2026-01-29,2026-02-28,2026-02-14,1718.06,AZN,HSE,PO-1367,Paid,Bank Transfer
INV-000083,Silk Road Consulting,Kazakhstan,2025-01-16,2025-03-02,2025-02-22,2001.43,USD,Human Resources,PO-1408,Paid,Bank Transfer
INV-000084,Dijon Business Travel,France,2025-09-17,2025-10-17,2025-10-04,1002.75,AZN,Human Resources,PO-1625,Paid,Bank Transfer
INV-000085,Global Safety Equipment,Netherlands,2025-08-25,2025-10-24,2025-10-11,816.38,AZN,Procurement,PO-1318,Paid,Bank Transfer
INV-000086,Baku Tech Services,Azerbaijan,2024-02-13,2024-03-29,2024-04-26,1144.82,AZN,Operations,PO-1579,Paid,Bank Transfer
INV-000087,Caucasus Travel Services,Georgia,2024-08-26,2024-10-25,2024-11-28,926.95,AZN,Human Resources,PO-1390,Paid,Corporate Card
INV-000088,Blue Horizon Software,United Kingdom,2025-03-05,2025-04-19,,2531.41,USD,Human Resources,PO-1270,Outstanding,Bank Transfer
INV-000089,Crescent Facilities,Azerbaijan,2025-04-22,2025-05-22,2025-05-24,428.27,AZN,Finance,PO-1241,Paid,Bank Transfer
INV-000090,Nordic Industrial Parts,Sweden,2024-04-13,2024-05-13,,785.85,USD,Human Resources,PO-1552,Outstanding,Bank Transfer
INV-000091,Silk Road Consulting,Kazakhstan,2025-08-24,2025-10-08,2025-11-01,450.45,AZN,HSE,PO-1450,Paid,Corporate Card
INV-000092,Nordic Industrial Parts,Sweden,2025-10-16,2025-12-15,,622.25,AZN,IT,PO-1103,Outstanding,Bank Transfer
INV-000093,Euro Energy Solutions,Germany,2025-10-20,2025-12-04,,4058.52,EUR,Operations,PO-1827,Outstanding,Bank Transfer
INV-000094,Baku Tech Services,Azerbaijan,2025-12-02,2026-01-16,2026-02-06,2166.35,AZN,Operations,PO-1875,Paid,Bank Transfer
INV-000095,Baku Tech Services,Azerbaijan,2024-01-21,2024-03-21,2024-03-21,1188.14,AZN,HSE,PO-1929,Paid,Bank Transfer
INV-000096,Crescent Facilities,Azerbaijan,2025-05-05,2025-07-04,2025-07-18,696.7,USD,IT,PO-1954,Paid,Bank Transfer
INV-000097,Blue Horizon Software,United Kingdom,2024-12-21,2025-01-05,2025-01-19,463.96,EUR,HSE,PO-1126,Paid,Bank Transfer
INV-000098,Araz Catering,Azerbaijan,2025-01-07,2025-02-21,2025-02-25,4262.02,USD,Finance,PO-1142,Paid,Bank Transfer
INV-000099,Atlas Logistics,Türkiye,2025-10-05,2025-11-19,2025-11-08,636.88,USD,Human Resources,PO-1168,Paid,Bank Transfer
INV-000100,Caspian Office Supplies,Azerbaijan,2024-11-11,2024-12-11,2025-01-08,769.81,EUR,Human Resources,PO-1243,Paid,Cheque
